(14,0)
(0,0)
(19,0)
(0,0)
(13,0)
(0,0)
(19,0)
(0,0)
(14,0)
(0,0)
(19,0)
(0,0)
(13,0)
(0,0)
(18,0)
(0,0)
(13,0)
(0,0)
(19,0)
(0,0)
(12,0)
(0,0)
(19,0)
(0,0)
(12,0)
(0,0)
(20,0)
(0,0)
(13,0)
(0,0)
(19,0)
(0,0)
(15,0)
(0,0)
(19,0)
(0,0)
(14,0)
(0,0)
(18,0)
(0,0)
(19,0)
(0,0)
(16,0)
(0,0)
(17.7835,0)
(4.36812,0)
(15.5733,0)
(0,0)
(15.7629,0)
(8.98568,0)
(14.1383,0)
(0,0)
(14.2869,0)
(13.6707,0)
(13.6899,0)
(0,0)
(13.2162,0)
(15.852,0)
(12.279,0)
(1.41421,0)
(10.1676,0)
(17.9817,0)
(12.8408,0)
(1.41421,0)
(8.87108,0)
(23.4487,0)
(15.6512,0)
(1,0)
(7.80185,0)
(25.3248,0)
(17.6005,0)
(1.41421,0)
(8.79726,0)
(26.4195,0)
(19.6018,0)
(0,0)
(8.61577,0)
(24.7576,0)
(17.3441,0)
(0,0)
(8,0)
(22.3896,0)
(15.6241,0)
(1,0)
(9,0)
(25.3387,0)
(16.5125,0)
(1,0)
(8.79726,0)
(25.5915,0)
(17.3441,0)
(1,0)
(9,0)
(22.8247,0)
(15.0554,0)
(1,0)
(8.15207,0)
(23.7785,0)
(15.8941,0)
(1,0)
(9.1974,0)
(25.2325,0)
(16.0995,0)
(1,0)
(7.85565,0)
(21.889,0)
(14.5692,0)
(1,0)
(9.38987,0)
(24.8071,0)
(16.8078,0)
(1,0)
(8.81025,0)
(25.7681,0)
(16.247,0)
(0,0)
(8.61577,0)
(25.0322,0)
(16.8078,0)
(0,0)
(8.81025,0)
(24.631,0)
(16.1489,0)
(0,0)
(8.26209,0)
(25.8549,0)
(16.8078,0)
(0,0)
(7.84429,0)
(24.976,0)
(17.2596,0)
(1,0)
(8.58872,0)
(27.3046,0)
(18.0475,0)
(1,0)
(8.79726,0)
(26.8702,0)
(17.198,0)
(1,0)
(7.5208,0)
(26.2146,0)
(18.0995,0)
(1,0)
(7.68466,0)
(25.9351,0)
(18.2956,0)
(1,0)
(9,0)
(28.0943,0)
(19,0)
(1,0)
(9.2111,0)
(27.2286,0)
(19,0)
(1,0)
(10.2462,0)
(28.5376,0)
(18.0454,0)
(0,0)
(9.1974,0)
(25.7872,0)
(17.0475,0)
(0,0)
(9.1974,0)
(25.7872,0)
(17.7238,0)
(0,0)
(8,0)
(24.0615,0)
(16.0525,0)
(1,0)
(9,0)
(25.5117,0)
(16.9043,0)
(1,0)
(9.18535,0)
(22.775,0)
(14.6241,0)
(1,0)
(7.85565,0)
(22.1044,0)
(15.2736,0)
(1,0)
(9.18535,0)
(23.2192,0)
(15.5125,0)
(1,0)
(7.40312,0)
(23.0314,0)
(15.7331,0)
(2,0)
(8.2111,0)
(24.2958,0)
(16.3615,0)
(2,0)
(9.1974,0)
(26.6247,0)
(16.6119,0)
(1,0)
(9.6319,0)
(23.8598,0)
(16.6612,0)
(2.1479,0)
(9.86729,0)
(24.6523,0)
(16.4624,0)
(2.1479,0)
(11.1963,0)
(26.5786,0)
(16.4868,0)
(2.1479,0)
(10.7607,0)
(24.7968,0)
(15.5394,0)
(3.07395,0)
(11.6119,0)
(22.9829,0)
(14.9443,0)
(2.65425,0)
(12.865,0)
(22.7887,0)
(15.5394,0)
(2.2419,0)
(10.4031,0)
(21.8898,0)
(15.7065,0)
(2.59431,0)
(10.3577,0)
(23.3555,0)
(16.5647,0)
(2.3146,0)
(10.0798,0)
(21.5284,0)
(17.3459,0)
(1,0)
(9.83245,0)
(21.8781,0)
(18.4449,0)
(1,0)
(9.76169,0)
(22.4252,0)
(19.3107,0)
(1,0)
(9.35693,0)
(24.3057,0)
(21.5998,0)
(1,0)
(9.63043,0)
(24.7305,0)
(22.4049,0)
(1,0)
(10.2596,0)
(24.8667,0)
(22.349,0)
(0,0)
(10.1007,0)
(23.9202,0)
(22.413,0)
(1,0)
(9.25655,0)
(25.5546,0)
(23.0243,0)
(1.61803,0)
(10.8953,0)
(24.7803,0)
(20.1577,0)
(1.61803,0)
(10.5588,0)
(24.3315,0)
(19.6485,0)
(1.61803,0)
(10.3338,0)
(23.3887,0)
(20.9123,0)
(1.61803,0)
(10.1666,0)
(23.4893,0)
(19.307,0)
(1.61803,0)
(10.8996,0)
(23.635,0)
(18.2675,0)
(1.61803,0)
(13.0454,0)
(22.7368,0)
(17.8035,0)
(1,0)
(13.631,0)
(20.0657,0)
(16.7281,0)
(1.38028,0)
(12.3414,0)
(21.8119,0)
(18.0922,0)
(1.22074,0)
(11.7896,0)
(22.2627,0)
(16.9949,0)
(1.25992,0)
(12.4944,0)
(20.8986,0)
(15.7008,0)
(2,0)
(10.811,0)
(19.5869,0)
(14.1087,0)
(2,0)
(9.9392,0)
(19.9569,0)
(14.0948,0)
(2,0)
(9.8049,0)
(18.9424,0)
(13.4263,0)
(2.38298,0)
(8.73991,0)
(20.1896,0)
(13.5157,0)
(2.38298,0)
(9.68466,0)
(21.7902,0)
(15.4314,0)
(2,0)
(8.99351,0)
(21.1654,0)
(12.9505,0)
(2.87513,0)
(7.95439,0)
(22.1624,0)
(13.5894,0)
(3,0)
(9.09212,0)
(21.2744,0)
(12.5054,0)
(3,0)
(8.46986,0)
(22.7618,0)
(13.2974,0)
(3,0)
(7.77774,0)
(22.7102,0)
(13.0863,0)
(4.29379,0)
(6.76052,0)
(20.1737,0)
(11.4391,0)
(5.33951,0)
(6.37631,0)
(17.9606,0)
(8.68109,0)
(6.84535,0)
